author,year,title,abstract,url_or_doi,entry_type
"Yap, Ching Seng and Ahmad, Rizal and Newaz, Farhana Tahmida and Mason, Cordelia",2021.0,{Continuous Use and Extended Use of E-Government Portals in Malaysia,"This study aims to investigate the level of user satisfaction with the services provided by E-Government portals and to examine the influence of perceived value and virtual community engagement on citizens' satisfaction and their continuous and extended use intentions. Primary data are collected from a convenience sample of 1,000 E-Government portal users via a questionnaire survey. The findings show that citizens are generally satisfied with the services provided by E-Government portals and have positive continuous use and extended use intentions. Both perceived value and virtual community engagement relate positively with citizen satisfaction, with the former has a relatively stronger influence. Citizen satisfaction also leads to continuous and extended use intentions. The findings shed lights on dimensions of E-Government portals that citizens considered valuable and the importance of virtual community engagement in influencing their satisfaction and subsequent use intentions.",https://doi.org/10.1080/01900692.2020.1759626,article
"Naranjo-Zolotov, Mijail and Oliveira, T. and Casteleyn, Sven and Irani, Z.",2019.0,{Continuous usage of e-participation: The role of the sense of virtual community,"Local governments around the world are increasingly implementing e-participation platforms to involve citizens in consultation and decision-making processes. E-participation platforms usually succeed and produce positive effects in the community when adopted in the long-term scenario. The adoption of those platforms is still a challenge for local governments. The understanding of the factors that influence the continuous intention to use e-participation over time is critical for the design of diffusion and promotion strategies that motivate the citizens to keep using e-participation. This article explores the drivers that predict the post-adoption of e-participation platforms from the perspective of the sense of virtual community theory, that is the degree of affective attachment to a given community mediated by information technology. Specifically, our research model evaluates the association between the sense of virtual community with use behaviour and the continuous intention to use e-participation. Structural equation modelling was used to evaluate the data collected from 370 citizens who experienced an e-participation platform hosted by a European capital city. We found out that the direct association between the sense of virtual community and use was significant. Even though the direct association between the sense of virtual community and the continuous intention was non-significant, the indirect association sense of virtual community to use to continuous intention was statistically significant. This finding may indicate that the use behaviour is triggered by the influence of other members of the community for a short period of time, but it does not persist to influence the continuous intention over time.",https://doi.org/10.1016/J.GIQ.2019.05.009,article
"Qian, Mujun and Liu, Chen and Zou, Yulong",2016.0,{Cooperative beamforming for physical-layer security in power-constrained wireless sensor networks with partial relay selection,"We investigate the physical-layer security of a wireless sensor network comprised of a source-destination pair, multiple decode-and-forward (DF) relays, and an eavesdropper. When the relays forward the source signal to the destination, they should dissipate certain power for driving their physical circuits (e.g., amplifiers and filters), in addition to the transmit power required for emitting radio signals. However, no existing work considers the circuit power when exploiting relays for enhancing the wireless security against eavesdropping. We thus propose the relay-selection based cooperative beamforming framework, where partial relays are selected to forward the source signal in a beamforming manner. We present two relay-selection strategies, namely, the exponential-complexity exhaustive search and linear-complexity relay ordering. For comparison purposes, we also evaluate the conventional all-relay based and best-relay based beamforming schemes, where all relays or only the best one is selected to assist the source-destination transmission. It is shown that the proposed beamforming schemes significantly outperform the conventional all-relay and best-relay based beamforming schemes in terms of secrecy capacity. Additionally, the relay-ordering based beamforming scheme almost achieves the same secrecy capacity as the exhaustive-search method, but with a reduced computational complexity.",https://doi.org/10.1155/2016/9740750,article
"Ehimuan, Benedicta and Anyanwu, Anthony and Olorunsogo, Temidayo and Akindote, Odunayo Josephine and Abrahams, Temitayo Oluwaseun and Reis, Oluwatosin",2024.0,{Corresponding author: Benny Ehimuan Digital inclusion initiatives: Bridging the connectivity gap in Africa and the USA-A review,"This paper provides a comprehensive overview of digital inclusion initiatives aimed at mitigating the connectivity gap in Africa and the United States. As the world becomes increasingly reliant on digital technologies, the importance of ensuring equitable access to information and communication technologies (ICTs) has become a global priority. This review explores the current state of digital inclusion efforts in two distinct regions, Africa and the USA, to understand the challenges, successes, and lessons learned in bridging the digital divide. The first section of the review focuses on Africa, where disparities in digital access are particularly pronounced. Examining various initiatives, policies, and strategies implemented by governments, non-governmental organizations, and international partners, the review delves into the multifaceted approaches taken to extend connectivity to underserved populations. It highlights the role of innovative solutions such as community networks, mobile technologies, and public-private partnerships in fostering digital inclusion across diverse socioeconomic landscapes. In the second section, the review turns its attention to the United States, where digital inclusion efforts also face challenges despite higher overall connectivity rates. By analyzing federal and local initiatives, as well as private sector contributions, the review explores the nuances of digital inclusion in an advanced technological landscape. The examination encompasses efforts to address urban-rural disparities, promote digital literacy, and ensure affordable broadband access for marginalized communities. Comparative analysis between the two regions identifies commonalities and differences in the approaches to digital inclusion. The review assesses the impact of cultural, economic, and political factors on the effectiveness of initiatives, emphasizing the need for context-specific strategies. Furthermore, it evaluates the role of regulatory frameworks and policy interventions in shaping the trajectory of digital inclusion initiatives. Drawing from the experiences of both continents, this review contributes insights to inform future digital inclusion policies and practices globally. By synthesizing the lessons learned from Africa and the USA, policymakers, researchers, and practitioners can develop more nuanced and contextually relevant strategies to bridge the connectivity gap, fostering a more inclusive and equitable digital future for all.",https://doi.org/10.30574/ijsra.2024.11.1.0061,article
"Onoja, James Paul and Ajala, Olakunle Abayomi",2023.0,{Corresponding author: James Paul Onoja Smart city governance and digital platforms: A framework for inclusive community engagement and real-time decision-making,"Smart city governance represents a transformative approach to urban management, leveraging digital platforms and advanced technologies to enhance inclusivity, transparency, and efficiency. This paper explores the foundational principles of smart city governance and the critical role of digital platforms in fostering inclusive community engagement. It examines how IoT, AI, and big data enable real-time decision-making, improving resource allocation and responsiveness to urban challenges. Key findings highlight the benefits of integrating technology into governance frameworks while addressing challenges such as ethical concerns, data privacy, and digital accessibility. The paper concludes with policy recommendations for enhancing governance practices, emphasizing the importance of inclusivity, ethical standards, and public-private collaboration. These insights offer a roadmap for developing sustainable, citizen-centered smart cities capable of adapting to future demands.",https://doi.org/10.30574/gscarr.2023.15.3.0225,article
"Gil, Bernardo and Gon{\c{c",2019.0,{Counterfeit and Healthcare,"Trabalho Final de Mestrado Integrado, Ci{\^{e",https://doi.org/10.3390/su142316240,techreport
"Troisi, Orlando and Fenza, Giuseppe and Grimaldi, Mara and Loia, Francesca",2022.0,{Covid-19 sentiments in smart cities: The role of technology anxiety before and during the pandemic,"The spread of Covid-19 profoundly changed citizens' daily lives due to the introduction of new modes of work and access to services based on smart technologies. Although the relevance of new technologies as strategic levers for crisis resolution has been widely debated before the pandemic, especially in the smart cities' context, how individuals have agreed to include the technological changes dictated by the pandemic in their daily interactions remains an open question. This paper aims at detecting citizens' sentiment toward technology before and after the emergence of the Covid-19 pandemic using Fuzzy Formal Concept Analysis (FFCA) to analyze a large corpus of tweets. Specifically, citizens' attitudes in five cities (Berlin, Dublin, London, Milan, and Madrid) were explored to extract and classify the key topics related to the degree of confidence, familiarity and approval of new technologies. The results shed light on the complex technology acceptance process and help managers identify the potential negative effects of smart technologies. In this way, the study enhances scholars' and practitioners' understanding of the strategies for enabling the use of technology within smart cities to manage the transformations introduced by the health emergency and guide citizens' behaviour.",https://doi.org/10.1016/J.CHB.2021.106986,article
"Brandehoff, Robin",2017.0,"{Creating Together: Participatory, Community-Based, and Collaborative Arts Practices and Scholarship Across Canada ed. by Diane Conrad, Anita Sinner","More importantly, this methodology and the connections behind these arts-based and community-based practices encourage research participants to use their art to reaffirm their independence and show other community members that through art, power can also be taken back.“Un-censored” follows a group of high-risk youths who use visual art, storytelling, interactive theatre, and poetry to educate the social workers they interact with to better illustrate the stressors that youths face and the supports that they need to thrive.Shifting away from oppressed communities, “Using Drama to Build Community in Canadian Schools” discusses two case studies: one of a public elementary school, the other of the senior-level grades of a private academy in Canada.",https://doi.org/10.1353/tj.2017.0088,article
"Timeus, Krista and Vinaixa, Jordi and Pardo-Bosch, Francesc",2020.0,{Creating business models for smart cities: a practical framework,"Smart cities can use business models to evaluate what value they offer citizens by integrating ICT into their infrastructure and services. The article introduces the concept of the ‘city business model' and proposes a practical framework for analysing it. The City Model Canvas (CMC)—based on the Business Model Canvas for firms—shows the elements that city councils should consider during the design, delivery and assessment of smart services, including the smart service's expected economic, environmental and social impacts. An example of how the CMC was used to design an ICT platform in Bristol shows its utility as a planning tool.",https://doi.org/10.1080/14719037.2020.1718187,article
"Chen, Jiahao and Sun, Bing and Li, Yunfei and Jing, Ruipeng and Zeng, Yuan and Li, Minghao",2022.0,{Credible capacity calculation method of distributed generation based on equal power supply reliability criterion,"Increasing distributed generation (DG) enables distribution network (DN) carry more load. Therefore, DG includes both electricity and capacity values. The DG capacity value can be regarded as increased load capacity under equal power supply reliability, typically referred to as credible capacity (CC). A CC calculation method of DG based on equal power supply reliability criterion is proposed in the paper. The unserved electricity under fault state and insufficient electricity under normal state are both considered in reliability estimation for the first time. Firstly, an island partition optimization model is established to evaluate the unserved electricity under fault state. A heuristic prospective greedy algorithm is utilized to formulate the island schemes dynamically. Then, a minimizing load curtailment model is established to evaluate the insufficient power supply under normal state. DN steady-state security region method is introduced to avoid repeated power flow calculation. Finally, the DG CC calculation is conducted for the IEEE 33-bus system by the proposed method. It is found that the CC value will have a big deviation if the insufficient electricity under normal state is ignored. When the DG permeability increases from 10% to 50%, the CC value is about 30%–20% of the total capacity.",https://doi.org/10.1016/j.renene.2022.10.129,article
"Dashkevych, Oleg and Portnov, Boris A.",2022.0,{Criteria for Smart City Identification: A Systematic Literature Review,"The transition towards greater smartness is an emerging trend in the development of modern cities. This transition manifests itself in the widespread adoption of information and communication technologies (ICTs), cloud computing, Internet of Things (IoT), and other technological tools aimed at improving the level of city smartness. Although numerous studies have focused on the smart city (SC) phenomenon, knowledge about empirical criteria that can be used to define a city as “smart” and to measure the degree of a city's “smartness” remains limited. The present study aims to bridge this knowledge gap by a systematic literature review of recent studies, in which various empirical criteria are used for SC identification. The study helps to identify a total of 48 SC identification metrics, which are further split into three main categories—smart digital technology, living conditions, and environmental (ecological) sustainability. Among these groups of criteria, the “smart digital technology” group of metrics appears to be the most popular, while criteria pertinent to “ecological sustainability” are applied considerably less often. As the study also reveals, only about half of the criteria used by empirical studies for SC identification actually relate to urban residents' needs, with the rest being general technological measures. Therefore, for a balanced SC assessment, we suggest a ranking system based on the nine most important metrics, which equally represent all the main aspects of the SC phenomenon while placing an emphasis on the improvement of the quality of life of local residents. The proposed system is applied to several major cities across the globe to demonstrate its use and usefulness.",https://doi.org/10.3390/su14084448,article
"Sony, Michael and Naik, Subhash",2020.0,{Critical factors for the successful implementation of Industry 4.0: a review and future research direction,"Industry 4.0 symbolizes the fourth industrial revolution and the current trend of automation and data exchange in manufacturing technologies. The purpose of this article is to examine the research question on how to successfully implement Industry 4.0 in organizations. This study through a systematic literature review protocol proposed by Tranfield, Denyer, and Smart analyzed 84 articles in depth. The descriptive, categorical and thematic analysis of the literature is conducted. This study identifies 10 critical success factors which are necessary for the successful implementation of Industry 4.0 in the organization. Based on the 10 critical success factors 10 research directions in this area is further expounded. This study can be used by the organizations as a guiding factor while implementing Industry 4.0 in their organizations. Focussing on these 10 factors will help organizations to be sustainable during the implementation of Industry 4.0. Though there are some literature reviews on Industry 4.0, this study critically analyses the literature for finding the critical factors for the successful implementation of Industry 4.0.",https://doi.org/10.1080/09537287.2019.1691278,article
"Stratu-Strelet, Doina and Gil-G{\'{o",2021.0,{Critical factors in the institutionalization of e-participation in e-government in Europe: Technology or leadership?,This article examines citizen participation as a key factor for the sustainable development of democracy and public institutions. The purpose of this study is to offer a theoretical and empirical description of the status of civic engagement in e-participation in Europe. The article examines the necessary yet challenging goal of engaging citizens so that they participate in and improve our advanced society in a sustainable manner. Two research methods are used: a critical literature review and quantitative data analysis. The findings contribute to the development of civic engagement in public decision making.,https://doi.org/10.1016/J.TECHFORE.2020.120489,article
"Pescaroli, Gianluca and Alexander, David",2016.0,"{Critical infrastructure, panarchies and the vulnerability paths of cascading disasters","Cascading effects and cascading disasters are emerging fields of scientific research. The widespread diffusion of functional networks increases the complexity of interdependent systems and their vulnerability to large-scale disruptions. Although in recent years studies of interconnections and chain effects have improved significantly, cascading phenomena are often associated with the “toppling domino metaphor”, or with high-impact, low-probability events. This paper aimed to support a paradigm shift in the state of the art by proposing a new theoretical approach to cascading events in terms of their root causes and lack of predictability. By means of interdisciplinary theory building, we demonstrate how cascades reflect the ways in which panarchies collapse. We suggest that the vulnerability of critical infrastructure may orientate the progress of events in relation to society's feedback loops, rather than merely being an effect of natural triggers. Our conclusions point to a paradigm shift in the preparedness phase that could include escalation points and social nodes, but that also reveals a brand new field of research for disaster scholars.",https://doi.org/10.1007/S11069-016-2186-3,article
"Hollands, Robert G.",2015.0,{Critical interventions into the corporate smart city,"Driven by the profit motive of global high-technology companies, in collusion with the trend towards city governance being wedded to a competitive form of 'urban entrepreneurialism', has left little room for ordinary people to participate in the smart city. The article seeks to make a two-fold critical intervention into the dominance of this corporate smart city model. It does this by first looking at how we currently understand the smart city and critiques the growing trend towards corporate and entrepreneurial governance versions. A second form of intervention concerns considering smartness from different perspectives emanating from small-scale and fledgling examples of participatory and citizen-based types of smart initiatives.",https://doi.org/10.1093/CJRES/RSU011,article
"Boyd, Danah and Crawford, Kate",2012.0,"{Critical questions for big data: Provocations for a cultural, technological, and scholarly phenomenon","The era of Big Data has begun. Computer scientists, physicists, economists, mathematicians, political scientists, bio-informaticists, sociologists, and other scholars are clamoring for access to the massive quantities of information produced by and about people, things, and their interactions. Diverse groups argue about the potential benefits and costs of analyzing genetic sequences, social media interactions, health records, phone logs, government records, and other digital traces left by people. Significant questions emerge. Will large-scale search data help us create better tools, services, and public goods? Or will it usher in a new wave of privacy incursions and invasive marketing? Will data analytics help us understand online communities and political movements? Or will it be used to track protesters and suppress speech? Will it transform how we study human communication and culture, or narrow the palette of research options and alter what 'research' means? Given the rise of Big Data as a socio-technical phenomenon, we argue that it is necessary to critically interrogate its assumptions and biases. In this article, we offer six provocations to spark conversations about the issues of Big Data: a cultural, technological, and scholarly phenomenon that rests on the interplay of technology, analysis, and mythology that provokes extensive utopian and dystopian rhetoric. {\textcopyright",https://doi.org/10.1080/1369118X.2012.678878,article
"Caprotti, Federico",2014.0,"{Critical research on eco-cities? A walk through the Sino-Singapore Tianjin Eco-City, China","This article uses the narrative tool of a walk through Tianjin Eco-City, China, as an entry point in raising and discussing key questions in contemporary eco-city research. Eco-city projects are becoming increasingly prevalent in policy and political-economic discourses in a variety of locations as new urban spaces where blueprints for low carbon economies can be trialled. In light of this, the article highlights the key necessity of, firstly, considering scale when analyzing eco-city 'futures'. Secondly, the article argues for the need to interrogate eco-cities' definitions, as well as evaluation, performance and monitoring frameworks, as this will aid in critical analyses of the marketing, presentation and actually built urban environments in eco-city projects. Thirdly, the question of internal social resilience and the emergence of communities within newly-built eco-cities needs to be assessed: this is of crucial importance in light of the exclusive, gated nature of several flagship eco-city projects under construction at the time of writing. Lastly, the article argues that research on eco-city projects needs to consider not only the high-tech, new urban environments materialized as eco-cities, but also the production and reproduction of large, often transient populations of low-paid workers who build eco-cities and who form what the article calls the 'new urban poor', forming 'workers' cities' on the edges of flagship 'sustainable' urban projects worldwide. {\textcopyright",https://doi.org/10.1016/j.cities.2013.08.005,article
"Aksorn, Thanet and Hadikusumo, B. H.W.",2008.0,{Critical success factors influencing safety program performance in Thai construction projects,"It is well known that construction projects have many work-related accidents and injuries. In recent year, to overcome such safety problems, safety program implementation has been given significant consideration as one of the effective methods. In order to effectively gain from safety programs, factors that affect its implementation need to be studied. This paper identified 16 critical success factors (CSFs) of safety programs from safety literature and previous research and these were thereafter validated by construction safety professionals. The study was conducted through questionnaire surveys with 80 respondents from medium and large-scale construction projects taking part. The survey intended to assess and prioritize the degree of influence of those success factors have on the safety programs as perceived by the respondents. The result showed that the most influential factor is management support. Furthermore, using factor analysis, the 16 CSFs could be grouped into four dimensions: worker involvement, safety prevention and control system, safety arrangement, and management commitment. In order to validate the findings, three case studies were further conducted to test the effect of those success factors on construction safety performance. {\textcopyright",https://doi.org/10.1016/J.SSCI.2007.06.006,article
"Bayaga, Anass and Kyobe, Michael and Ophoff, Jacques",2020.0,{Criticism of the role of trust in e-government services,"Following the growing interest in the topic of e-government services' adoption, which is believed to be obstructed by the multifaceted nature of lacking trust, the objective of the current research was to examine the adoption and role of trust in e-government services. The current research took the approach of a systematic review of previous work, which was positioned upon researching trust as an influencer of e-government services' adoption. Guided by the theoretical framework, and based on the researched and reviewed findings, the conclusion reached as a potential for increasing trust in e-government services was first, to consider the various types of trust and their dimensions/requirements. The second recommendation was to test how these requirements influence e-government services such as e-voting (e-election), e-tax [e-filing], e-health (m-health), e-banking, e-commerce, and e-learning (m-learning). Another crucial attribute to be considered is (1) the best predictor(s) for these requirements, and (2) how the variation of continued use of e-government services could be explained by the types of trust and their dimensions.",https://doi.org/10.1109/ICTAS47918.2020.233973,article
"Guma, Prince K. and Monstadt, Jochen",2021.0,{Cron Jobs In Linux - How To Use Cron Jobs To Automate And Schedule Tasks,"Since the late 2000s, the city of Nairobi in Kenya has become a focal point of large-scale and ambitious technology-driven city making processes and ambitions. In this study, we draw upon observations, interviews, and policy analysis to examine processes of city making and the spread of ICT-driven infrastructures, juxtaposing ambitious visions of emergent plans with ordinary realities of the African city. We demonstrate that while processes of smart city making have strongly been inclined toward technocratic approaches and deterministic appeals, this inclination is highly deceptive. We argue that rather than being deterministic, these processes are essentially politicized, highly contested, and shaped by the role and impact of local practices and context-specific realities. In making this argument, we draw from a social studies of technology perspective which engages with the notion of technological determinism to make this contribution to the academic field of critical urbanism.",https://doi.org/10.1080/02723638.2020.1715050,misc
"Alshaer, Ihab and Colombier, Brice and Deleuze, Christophe and Maistri, Paolo and Beroulle, Vincent",2022.0,{Cross-layer inference methodology for microarchitecture-aware fault models,"Fault injection attacks are considered one of the major threats to cyber–physical systems. The increasing complexity of embedded microprocessors involves complicated behaviours in presence of such attacks. Realistic fault models are required to study code vulnerabilities and be able to protect digital systems from these attacks. However, inferring fault models using only limited observations of faulty microprocessors is difficult. In this article, we present experiments that show the difficulty of characterizing and modeling the fault injection effects. From there, we propose a complete approach for fault analysis to build proper fault models at different abstraction levels, which will help in designing suitable countermeasures at reasonable cost. We also present a suite of experiments that works as a proof of concept to validate the proposed methodology.",https://doi.org/10.1016/j.microrel.2022.114841,article
Car{\`{e,2018.0,{Crowdfunding for the development of smart cities,"In recent years, many cities have experienced new forms of collaboration that have an impact on citizens and entrepreneurs. The integration of this field of study with civic crowdfunding can influence economic growth and community building, which may be beneficial for both policymakers and practitioners alike. Civic crowdfunding is a financial model through which citizens, in collaboration with government and local authorities, fund projects to provide a community service. The development of smart cities is related to civic engagement, empowerment, and participation intended to be part of crowdsourcing or entrepreneurial activities. In this sense, cities play a vital role as drivers of (open) innovation and entrepreneurship. Based on these considerations, this study proposes an explorative and qualitative approach to investigate the civic crowdfunding phenomenon and its ability to promote community development. Our exploratory analysis of six projects highlights the challenges and opportunities of civic crowdfunding for the creation, development, and improvement of more inclusive cities.",https://doi.org/10.1016/j.bushor.2017.12.001,article
"Harrison, Tom",2016.0,{Cultivating cyber-phronesis: a new educational approach to tackle cyberbullying,"Cyberbullying is a pervasive and troubling moral concern for teachers, schools, parents and pupils. As children and young people in England are now more likely to be bullied online than face-to-face, this article explores if there is a need to rethink traditional educational approaches to dealing with the issue. The article starts with a critique of the current dominant approaches to tackling cyberbullying in schools, which draw predominantly on deontological and utilitarian moral philosophies. It then details what an Aristotelian character education approach to cyberbullying would consist of. At its heart is a requirement to enable children and young people to become digitally virtuous citizens, through the development of cyber-phronesis. The article concludes with a description of moral educational interventions that would increase the likelihood of children and young people making both ‘good' and ‘wise' choices when online.",https://doi.org/10.1080/02643944.2016.1202307,article
"AbdulKareem, Abdulrazaq Kayode and Oladimeji, Kazeem Adebayo",2024.0,"{Cultivating the digital citizen: trust, digital literacy and e-government adoption","Purpose: This study aims to examine the role of trust and digital literacy in influencing citizens' adoption of e-government services. Design/methodology/approach: Grounded in the technology acceptance model (TAM), a research model was developed focusing on e-filing services adoption. Hypotheses were formulated to assess the moderating effect of digital literacy on the relationship between trust and the key TAM determinants of perceived usefulness and perceived ease of use. A questionnaire-based survey of 876 citizens who have used e-filing using the snow-ball sampling technique was adopted to generate data. The data was analyzed using PLS-SEM through the aid of SmartPLS 4 to assess the measurement model and structural relationships. Findings: Trust positively influences perceived usefulness and ease of use, which in turn drive adoption. Additionally, digital literacy significantly moderates the impact of trust on usefulness and ease of use perceptions – the effect is stronger for higher digital literacy. Research limitations/implications: The study adopted a single country developing economy context limiting cross-cultural applicability. Second, the focus on e-filing adoption precludes insights across other e-government services. Third, the reliance on perceptual measures risks respondent biases and fourth, the study is a cross-sectional survey design. Practical implications: The findings emphasize multifaceted strategies to accelerate e-government adoption. Nurturing citizen trust in e-government systems through enhanced reliability, security and transparency remains vital. Simultaneously, initiatives to cultivate digital access, skills and proficiencies across population segments need to be undertaken. Originality/value: This study integrates trust and digital literacy within the theoretical model to provide a more holistic understanding of adoption determinants. It highlights the need for balanced technology-enabled and social interventions to foster acceptance of e-government services.",https://doi.org/10.1108/TG-11-2023-0196,article
"Mutambik, Ibrahim",2024.0,{Culturally Informed Technology: Assessing Its Importance in the Transition to Smart Sustainable Cities,"Since the idea of the smart city was first introduced, over two decades ago, there has been an increasing focus on sustainability as a core strategic priority. However, as the relevance, importance and even definition of sustainability is a function of cultural context, planners must take account of local and regional cultural factors in the selection and adaption of digital infrastructures, as well as in the management and encouragement of public acceptance. Achieving this is not a sequential process, but a concurrent one, as these factors are interdependent. This raises the question of what factors affect and mediate the technology, choice, and public acceptance of smart sustainable cities. This paper attempts to address this question by proposing a new model which advances our current, and considerable, understanding of Technology Acceptance Modelling—using an analysis based on Structural Equation Modelling. This new model, called the Culturally Informed Technology Acceptance Model, was validated using data from a survey of residents of a variety of Saudi Arabian cities. The proposed model is designed around important factors that can be influenced by cultural context, such as digital literacy, process improvements, cost savings and privacy, and is a useful tool for understanding the role of culture in the public acceptance of smart sustainable technology. This design focus is for a number of reasons, such as helping development bodies ensure that the technologies used align with the socio-cultural context. It will also help in the management of at-scale technology roll out in a way that is resource-efficient. Although the Culturally Informed Technology Acceptance Model has been developed and validated using data from Saudi Arabia, the authors believe that it could be adapted to meet the needs of countries/cities that are looking to implement smart city strategies matched to their own distinct socio-cultural identity.",https://doi.org/10.3390/SU16104075,article
"Lee, Jane J. and Herrera, Joel Aguirre and Cardona, Jose and Cruz, Loren Yesenia and Munguia, Lesster and {Leyva Vera",2022.0,{Culturally Tailored Social Media Content to Reach Latinx Immigrant Sexual Minority Men for HIV Prevention:Web-Based Feasibility Study,"Background: Latinx gay, bisexual, and other sexual minority men are disproportionately affected by HIV in the United States. As Latinx sexual minority men, particularly those who are foreign-born, experience inequitable access to health services, tailored strategies to engage them for HIV prevention are urgently needed. Objective: Our study seeks to address the need for enhanced access to HIV prevention among Latinx immigrant sexual minority men. We developed and piloted a culturally sensitive technology-based campaign focused on HIV testing and pre-exposure prophylaxis (PrEP) uptake. Methods: We used a two-phase approach to assess the feasibility of community-informed social media content in engaging Latinx immigrant sexual minority men for HIV testing and PrEP use. First, we conducted three iterative focus groups with 15 Latinx immigrant sexual minority men to refine the HIV prevention content to be piloted on social media platforms. The finalized content was placed on Instagram and Facebook for 9 days in July and September 2021 to individuals who were in Washington State. Individuals who clicked on the content were directed to a website with additional HIV prevention information. Second, we conducted online surveys (n=60) with website visitors that assessed sociodemographic characteristics, barriers to HIV prevention, and HIV-related transmission risk and prevention behaviors. We conducted descriptive analyses to examine the overall profile of survey respondents and determine the feasibility of culturally informed social media content in reaching Latinx immigrant sexual minority men. Results: Overall, 739 unique users visited the website during the 9-day period when the social media content was posted on Instagram and Facebook. Our sample included 60 Latinx immigrant sexual minority men who completed the online survey. Participants'mean age was 30.8 years and more than half (n=34, 57%) completed the survey in Spanish. A quarter of participants indicated that they were unauthorized immigrants and 57% (n=34) reported not having medical insurance. Participants reported, on average, having 6 different sexual partners in the last 6 months. Nearly a third of respondents had not tested for HIV in the last 6 months. Only about half (n=32, 53%) of respondents had used PrEP in the last 12 months. Conclusions: Community-driven social media and web-based strategies are feasible ways to engage Latinx immigrant sexual minority men who may traditionally lack access to HIV prevention information and services due to structural and social barriers. The results highlight that culturally relevant social media and web-based outreach strategies that are informed and developed by the community can reach Latinx immigrant sexual minority men for HIV prevention. Findings underscore the need to examine the effectiveness of social media content in promoting HIV testing and PrEP uptake in marginalized Latinx populations.",https://doi.org/10.2196/36446,article
"Sternberg, Robert J.",2004.0,{Culture and intelligence.,"Intelligence cannot be fully or even meaningfully understood outside its cultural context. Work that seeks to study intelligence acontextually risks the imposition of an investigator's view of the world on the rest of the world. Moreover, work on intelligence within a single culture mayfail to do justice to the range of skills and knowledge that may constitute intelligence broadly defined and risks drawing false and hasty generalizations. This article considers the relevance of culture to intelligence, as well as its investigation, assessment, and development. Studies that show the importance of understanding intelligence in its cultural context are described; the author concludes that intelligence must be understood in such context.",https://doi.org/10.1037/0003-066X.59.5.325,article
"Fagan, Joseph F. and Holland, Cynthia R.",2009.0,{Culture-fair prediction of academic achievement,"A theoretically based, culture-fair test of new learning ability is predictive of academic achievement. A sample of 633 adults, 121 of minority status, drawn from urban private universities, colleges, and community colleges were given information as to the meanings of previously unknown words, sayings, similarities, and analogies. They were also tested for their existing knowledge of vocabulary, opposites, and analogies with a brief version of the Scholastic Assessment Test (SAT). New learning ability proved to be culture-fair, reliable, and predictive of grades and of the brief version of the SAT. {\textcopyright",https://doi.org/10.1016/J.INTELL.2008.07.004,article
"Neirotti, Paolo and {De Marco",2014.0,{Current trends in smart city initiatives: Some stylised facts,"The concept of Smart City (SC) as a means to enhance the life quality of citizen has been gaining increasing importance in the agendas of policy makers. However, a shared definition of SC is not available and it is hard to identify common global trends. This paper provides with a comprehensive understanding of the notion of SC through the elaboration of a taxonomy of pertinent application domains, namely: natural resources and energy, transport and mobility, buildings, living, government, and economy and people. It also explores the diffusion of smart initiatives via an empirical study aimed at investigating the ratio of domains covered by a city's best practices to the total of potential domains of smart initiatives and at understanding the role that various economic, urban, demographic, and geographical variables might have in influencing the planning approach to create a smarter city. Results reveal that the evolution patterns of a SC highly depend on its local context factors. In particular, economic development and structural urban variables are likely to influence a city's digital path, the geographical location to affect the SC strategy, and density of population, with its associated congestion problems, might an important component to determine the routes for the SC implementation. This work provides policy makers and city managers with useful guidelines to define and drive their SC strategy and planning actions towards the most appropriate domains of implementation. {\textcopyright",https://doi.org/10.1016/J.CITIES.2013.12.010,article
"Praharaj, Sarbeswar and Han, Hoon",2019.0,{Cutting through the clutter of smart city definitions: A reading into the smart city perceptions in India,"Smart city development has emerged as a favoured response to the 21st-century urbanisation challenges. A wide range of definitions surfaced over the last decade characterising the smart city, primarily pushed by the global elite corporations and influential academics. Simultaneously, a series of urban development expressions, such as digital city, knowledge city, eco-city is used interchangeably with the smart city, significantly mystifying the reading of the concept. This paper, first argue that smart city interpretation needs and requires the input and contribution of the local stakeholders. The aim of this research is to provide an evidence-based framework to capture the perception of local urban actors in India vis-{\`{a",https://doi.org/10.1016/J.CCS.2019.05.005,article
"Cremer, Frank and Sheehan, Barry and Fortmann, Michael and Kia, Arash N. and Mullins, Martin and Murphy, Finbarr and Materne, Stefan",2022.0,{Cyber risk and cybersecurity: a systematic review of data availability,"Cybercrime is estimated to have cost the global economy just under USD 1 trillion in 2020, indicating an increase of more than 50% since 2018. With the average cyber insurance claim rising from USD 145,000 in 2019 to USD 359,000 in 2020, there is a growing necessity for better cyber information sources, standardised databases, mandatory reporting and public awareness. This research analyses the extant academic and industry literature on cybersecurity and cyber risk management with a particular focus on data availability. From a preliminary search resulting in 5219 cyber peer-reviewed studies, the application of the systematic methodology resulted in 79 unique datasets. We posit that the lack of available data on cyber risk poses a serious problem for stakeholders seeking to tackle this issue. In particular, we identify a lacuna in open databases that undermine collective endeavours to better manage this set of risks. The resulting data evaluation and categorisation will support cybersecurity researchers and the insurance industry in their efforts to comprehend, metricise and manage cyber risks.",https://doi.org/10.1057/s41288-022-00266-6,article
