Author,Year,Title,Abstract,Combined(Title+Abstract),Target
"McFarlane, Colin and S{\""{o",2017,{On alternative smart cities: From a technology-intensive to a knowledge-intensive smart urbanism,"Smart urbanism seems to be everywhere you turn. But in practice the agenda is an uncertain one, usually only partially developed, and often more about corporate-led urban development than about urban social justice. Rather than leave smart urbanism to the corporate and political elites, there are opportunities now for critical urban scholarship to not only critique how it is currently constituted, but to give shape to a globally oriented alternative smart urban agenda. An ambition like this means taking the ‘urban' in ‘smart urban' much more seriously. It means foregrounding the knowledges, political priorities and needs of those either actively excluded or included in damaging ways in mainstream smart urban discourses. We outline steps towards an alternative smart urbanism. We seek to move beyond the specific to the general and do so by drawing on radically different initiatives across the Global North and South. These initiatives provide tantalizing openings to a more socially just use of digital technology, where urban priorities and justice drive the use—or lack of use—of technology.","{On alternative smart cities: From a technology-intensive to a knowledge-intensive smart urbanismSmart urbanism seems to be everywhere you turn. But in practice the agenda is an uncertain one, usually only partially developed, and often more about corporate-led urban development than about urban social justice. Rather than leave smart urbanism to the corporate and political elites, there are opportunities now for critical urban scholarship to not only critique how it is currently constituted, but to give shape to a globally oriented alternative smart urban agenda. An ambition like this means taking the ‘urban' in ‘smart urban' much more seriously. It means foregrounding the knowledges, political priorities and needs of those either actively excluded or included in damaging ways in mainstream smart urban discourses. We outline steps towards an alternative smart urbanism. We seek to move beyond the specific to the general and do so by drawing on radically different initiatives across the Global North and South. These initiatives provide tantalizing openings to a more socially just use of digital technology, where urban priorities and justice drive the use—or lack of use—of technology.",1
"Ruhlandt, Robert Wilhelm Siegfried",2018,{The governance of smart cities: A systematic literature review,"Research on smart cities lacks a systematic understanding of the different components of smart city governance, the metrics to measure these components, their envisaged outcomes and potential contextual factors influencing both components as well as outcomes. This study analyzes the relevant body of literature and proposes conceptual insights. A research scheme is generated and used for an extensive discussion of the literature. The systematic literature review indicates that various smart city governance definitions exist. Also, this study reveals substantial variances in contextual factors, measurement techniques and outcomes among the concepts of smart city governance.","{The governance of smart cities: A systematic literature reviewResearch on smart cities lacks a systematic understanding of the different components of smart city governance, the metrics to measure these components, their envisaged outcomes and potential contextual factors influencing both components as well as outcomes. This study analyzes the relevant body of literature and proposes conceptual insights. A research scheme is generated and used for an extensive discussion of the literature. The systematic literature review indicates that various smart city governance definitions exist. Also, this study reveals substantial variances in contextual factors, measurement techniques and outcomes among the concepts of smart city governance.",1
"Choi, Junho",2022,{Enablers and inhibitors of smart city service adoption: A dual‑factor approach based on the technology acceptance model,"This study investigated the enablers and inhibitors of smart city technology adoption using a citizen-centered approach. We proposed a dual-factor theoretical framework based on variables related to the technology acceptance model and tested it in Sejong and Songdo, the national pilot smart cities in Korea. We administered a structured web-based survey to 239 respondents. We used confirmatory factor analysis and structural equation modeling to test our hypotheses. The results revealed that compatibility, service quality, and relative advantage have positive effects on the perceived usefulness and usability of smart city services. On the other hand, complexity and unreliability have negative direct and indirect effects on intentions to use smart city services. These findings can guide the decision making of local officials and technology developers when creating smart city services. Additionally, the study's results can inform strategies for providing services to cities and regions.","{Enablers and inhibitors of smart city service adoption: A dual‑factor approach based on the technology acceptance modelThis study investigated the enablers and inhibitors of smart city technology adoption using a citizen-centered approach. We proposed a dual-factor theoretical framework based on variables related to the technology acceptance model and tested it in Sejong and Songdo, the national pilot smart cities in Korea. We administered a structured web-based survey to  respondents. We used confirmatory factor analysis and structural equation modeling to test our hypotheses. The results revealed that compatibility, service quality, and relative advantage have positive effects on the perceived usefulness and usability of smart city services. On the other hand, complexity and unreliability have negative direct and indirect effects on intentions to use smart city services. These findings can guide the decision making of local officials and technology developers when creating smart city services. Additionally, the study's results can inform strategies for providing services to cities and regions.",1
"Angelidou, Margarita",2017,{The Role of Smart City Characteristics in the Plans of Fifteen Cities,"This paper identifies the characteristics of smart cities as they emerge from the recent literature. It then examines whether and in what way these characteristics are present in the smart city plans of 15 cities: Amsterdam, Barcelona, London, PlanIT Valley, Stockholm, Cyberjaya, Singapore, King Abdullah Economic City, Masdar, Skolkovo, Songdo, Chicago, New York, Rio de Janeiro, and Konza. The results are presented with respect to each smart city characteristic. As expected, most strategies emphasize the role of information and communication technologies in improving the functionality of urban systems and advancing knowledge transfer and innovation networks. However, this research yields other interesting findings that may not yet have been documented across multiple case studies; for example, most smart city strategies fail to incorporate bottom-up approaches, are poorly adapted to accommodate the local needs of their area, and consider issues of privacy and security inadequately.","{The Role of Smart City Characteristics in the Plans of Fifteen CitiesThis paper identifies the characteristics of smart cities as they emerge from the recent literature. It then examines whether and in what way these characteristics are present in the smart city plans of  cities: Amsterdam, Barcelona, London, PlanIT Valley, Stockholm, Cyberjaya, Singapore, King Abdullah Economic City, Masdar, Skolkovo, Songdo, Chicago, New York, Rio de Janeiro, and Konza. The results are presented with respect to each smart city characteristic. As expected, most strategies emphasize the role of information and communication technologies in improving the functionality of urban systems and advancing knowledge transfer and innovation networks. However, this research yields other interesting findings that may not yet have been documented across multiple case studies; for example, most smart city strategies fail to incorporate bottom-up approaches, are poorly adapted to accommodate the local needs of their area, and consider issues of privacy and security inadequately.",1
"Kummitha, Rama Krishna Reddy and Crutzen, Nathalie",2017,{How do we understand smart cities? An evolutionary perspective,"Smart city approaches in city planning have gained significant momentum in the recent past. While proponents argue that smart cities will bring positive social change by the adoption of ICTs, enriched governance and human capital among the citizenry, opponents point out about the negative effects and gaps exist in their planning and execution. Despite efforts to promote its practice, there has been wide criticism about the concept and the way it has been adopted and implemented. The roles of various players, especially the central role of the private sector, is often challenged in the academic literature. A variety of expectations from various stakeholders make the potential implementation strategies even more complex. The current paper reviews the research in the field to date to find that there are conflicting views in smart city planning, which limit our knowledge about the ‘real' smart city and its implications for building creative and inclusive urban space. Such uncertainty at the conceptual level, and the heightened importance given by policy makers and markets to its adoption, highlights the need for proper scrutiny. The paper clusters the various views pertaining to the building of smart cities and, thereby, proposes a 3RC framework, consisting of Restrictive, Reflective, Rationalistic and Critical schools, which critically analyses various stages in the development of the field. The overall aim of the paper is to understand how smart cities differ in their meanings, intentions and ‘offerings'.","{How do we understand smart cities? An evolutionary perspectiveSmart city approaches in city planning have gained significant momentum in the recent past. While proponents argue that smart cities will bring positive social change by the adoption of ICTs, enriched governance and human capital among the citizenry, opponents point out about the negative effects and gaps exist in their planning and execution. Despite efforts to promote its practice, there has been wide criticism about the concept and the way it has been adopted and implemented. The roles of various players, especially the central role of the private sector, is often challenged in the academic literature. A variety of expectations from various stakeholders make the potential implementation strategies even more complex. The current paper reviews the research in the field to date to find that there are conflicting views in smart city planning, which limit our knowledge about the ‘real' smart city and its implications for building creative and inclusive urban space. Such uncertainty at the conceptual level, and the heightened importance given by policy makers and markets to its adoption, highlights the need for proper scrutiny. The paper clusters the various views pertaining to the building of smart cities and, thereby, proposes a RC framework, consisting of Restrictive, Reflective, Rationalistic and Critical schools, which critically analyses various stages in the development of the field. The overall aim of the paper is to understand how smart cities differ in their meanings, intentions and ‘offerings'.",1
"Eynon, Rebecca",2021,{Becoming digitally literate: Reinstating an educational lens to digital skills policies for adults,"The development of digital skills for all is a key focus of many educational policies across the globe. Despite the significant attention paid to the nature and suitability of such policies targeted at young people, there has been far less focus on digital skills policies targeted at adults. This article contributes to this literature. It outlines current digital skills policy in England. Having established this background, it analyses 30 interviews with digitally competent adults from lower socio-economic backgrounds about their experiences of learning to use the Internet. In doing so, the article highlights that a narrow and instrumental digital skills agenda is emerging in the education of adults, driven by the needs of the commercial sector, that is in stark contrast to the experiences, motivations and hopes of adults who learn about, and use, digital technologies. Reframing digital skills as part of a broader adult education agenda may offer a way to facilitate the development of digital literacies that individuals seek.","{Becoming digitally literate: Reinstating an educational lens to digital skills policies for adultsThe development of digital skills for all is a key focus of many educational policies across the globe. Despite the significant attention paid to the nature and suitability of such policies targeted at young people, there has been far less focus on digital skills policies targeted at adults. This article contributes to this literature. It outlines current digital skills policy in England. Having established this background, it analyses  interviews with digitally competent adults from lower socio-economic backgrounds about their experiences of learning to use the Internet. In doing so, the article highlights that a narrow and instrumental digital skills agenda is emerging in the education of adults, driven by the needs of the commercial sector, that is in stark contrast to the experiences, motivations and hopes of adults who learn about, and use, digital technologies. Reframing digital skills as part of a broader adult education agenda may offer a way to facilitate the development of digital literacies that individuals seek.",1
"Chohan, Sohail Raza and Hu, Guangwei",2022,{Strengthening digital inclusion through e-government: cohesive ICT training programs to intensify digital competency,"Governments around the globe are in a quest for successful e-government services. In this pursuit, one of the most significant barriers to e-government resilience is insufficient training. The objective of this study is to examine the impact of ICT training programs on the success of e-government services to improve digital competency along with decreasing the digital divide concerning developing societies. The pragmatic research process served as a baseline of this study, and a quasi-experimental research approach was implemented for testing the control group. The results of e-government training revealed a significant increase in the trainees' self-efficacy regarding the use of e-government applications. This study proved that e-government ICT training programs directed at citizens can create a positive impact in conjunction with increasing digital literacy. Such training programs could also lessen the digital divide, enrich citizens' potential, and promote more equitable usage of public services in developing societies.","{Strengthening digital inclusion through e-government: cohesive ICT training programs to intensify digital competencyGovernments around the globe are in a quest for successful e-government services. In this pursuit, one of the most significant barriers to e-government resilience is insufficient training. The objective of this study is to examine the impact of ICT training programs on the success of e-government services to improve digital competency along with decreasing the digital divide concerning developing societies. The pragmatic research process served as a baseline of this study, and a quasi-experimental research approach was implemented for testing the control group. The results of e-government training revealed a significant increase in the trainees' self-efficacy regarding the use of e-government applications. This study proved that e-government ICT training programs directed at citizens can create a positive impact in conjunction with increasing digital literacy. Such training programs could also lessen the digital divide, enrich citizens' potential, and promote more equitable usage of public services in developing societies.",1
"Kummitha, Rama Krishna Reddy and Crutzen, Nathalie",2019,{Smart cities and the citizen-driven internet of things: A qualitative inquiry into an emerging smart city,"This paper builds on institutional theory to understand the role that the institutional environment plays in emerging economies which encourage citizens to create Internet of Things (IoT)-based interventions. The research included a field-based study in Hyderabad, a south Indian smart city, using a qualitative explorative research methodology. The research found that, although a supportive regulatory environment helps to create a positive regulatory and cognitive institutional context, normative institutions continue to discourage the positive environment that this context has created. Such a scenario may lead to a ‘talent-in and talent-out' situation that reduces the entrepreneurial potential of the cities. Thus, city governments in emerging economies need to focus on building not only a regulatory environment, but also create a conducive environment for the key stakeholders in the ecosystem to encourage and promote citizen-led IoT interventions that would result in building inclusive smart cities.","{Smart cities and the citizen-driven internet of things: A qualitative inquiry into an emerging smart cityThis paper builds on institutional theory to understand the role that the institutional environment plays in emerging economies which encourage citizens to create Internet of Things (IoT)-based interventions. The research included a field-based study in Hyderabad, a south Indian smart city, using a qualitative explorative research methodology. The research found that, although a supportive regulatory environment helps to create a positive regulatory and cognitive institutional context, normative institutions continue to discourage the positive environment that this context has created. Such a scenario may lead to a ‘talent-in and talent-out' situation that reduces the entrepreneurial potential of the cities. Thus, city governments in emerging economies need to focus on building not only a regulatory environment, but also create a conducive environment for the key stakeholders in the ecosystem to encourage and promote citizen-led IoT interventions that would result in building inclusive smart cities.",1
"Shin, Seung Yoon and Kim, Dongwook and Chun, Soon Ae",2021,{Digital divide in advanced smart city innovations,"A smart city aims to become a citizen-centered city where citizens actively engage in urban operation and share urban data within a high-tech ICT infrastructure. It premises ‘smart citizens' who can understand and utilize digital technology to adapt well to the various infrastructure of smart cities. In reality, however, not only tech-savvy citizens but those who are not likely to coexist in a smart city. Disadvantaged groups with relatively insufficient awareness and the necessity of technologies might be excluded from smart cities' various benefits. The smart city innovations need to encompass diverse social groups' engagements to claim their legitimacy and sustainability from a long-term perspective. In this light, this study examines the potential digital divide in the advanced technologies used in the emerging 5G smart city era. Using survey data, we investigate if the smart citizens' social and technical readiness in terms of the use experience and necessity of new technologies can predict the adoption and use of the emerging 5G smart city innovations. The empirical results from this study can inform the digital divide between the general public and technology-disadvantaged groups. The findings can also guide policymakers in prioritizing technologies that are accessible and beneficial to all potential residents of smart cities in the future. Finally, the results yield specific policy implications for practitioners who design more inclusive and sustainable smart cities in the 5G era.","{Digital divide in advanced smart city innovationsA smart city aims to become a citizen-centered city where citizens actively engage in urban operation and share urban data within a high-tech ICT infrastructure. It premises ‘smart citizens' who can understand and utilize digital technology to adapt well to the various infrastructure of smart cities. In reality, however, not only tech-savvy citizens but those who are not likely to coexist in a smart city. Disadvantaged groups with relatively insufficient awareness and the necessity of technologies might be excluded from smart cities' various benefits. The smart city innovations need to encompass diverse social groups' engagements to claim their legitimacy and sustainability from a long-term perspective. In this light, this study examines the potential digital divide in the advanced technologies used in the emerging G smart city era. Using survey data, we investigate if the smart citizens' social and technical readiness in terms of the use experience and necessity of new technologies can predict the adoption and use of the emerging G smart city innovations. The empirical results from this study can inform the digital divide between the general public and technology-disadvantaged groups. The findings can also guide policymakers in prioritizing technologies that are accessible and beneficial to all potential residents of smart cities in the future. Finally, the results yield specific policy implications for practitioners who design more inclusive and sustainable smart cities in the G era.",1
"Trencher, Gregory",2019,{Towards the smart city 2.0: Empirical evidence of using smartness as a tool for tackling social challenges,"While scholars critique the first-generation of the corporate smart city for failing to tackle people-oriented agendas and authentically respond to the needs of residents, many point to a potential to move beyond narrow environmental and economic objectives and tackle social issues. But concrete empirical evidence of this potential is visibly lacking. In parallel, researchers have brought attention to the emergence of the so-called ‘smart city 2.0'. This is framed as a decentralised, people-centric approach where smart technologies are employed as tools to tackle social problems, address resident needs and foster collaborative participation. This contrasts to the techno-economic and centralised approach of the dominating ‘smart city 1.0' or first-generation paradigm, which is primarily focused on diffusing smart technologies for corporate and economic interests. Utilising this dichotomy as an analytical framework, this paper examines Aizuwakamatsu Smart City in Fukushima, Japan to demonstrate how a smart city can be framed and implemented as a tool for tackling endogenous social challenges. Findings unearth a myriad of novel approaches to utilising data and ICT to respond to resident needs, improve livelihoods and widely share smart city benefits. Yet they also point to a need to transcend polarised discourses around alternative models of smart cities and appreciate the messy reality of hybrid, on-the-ground smart urbanisation and the co-existence of contrasting yet complementary visions and approaches.","{Towards the smart city .: Empirical evidence of using smartness as a tool for tackling social challengesWhile scholars critique the first-generation of the corporate smart city for failing to tackle people-oriented agendas and authentically respond to the needs of residents, many point to a potential to move beyond narrow environmental and economic objectives and tackle social issues. But concrete empirical evidence of this potential is visibly lacking. In parallel, researchers have brought attention to the emergence of the so-called ‘smart city .'. This is framed as a decentralised, people-centric approach where smart technologies are employed as tools to tackle social problems, address resident needs and foster collaborative participation. This contrasts to the techno-economic and centralised approach of the dominating ‘smart city .' or first-generation paradigm, which is primarily focused on diffusing smart technologies for corporate and economic interests. Utilising this dichotomy as an analytical framework, this paper examines Aizuwakamatsu Smart City in Fukushima, Japan to demonstrate how a smart city can be framed and implemented as a tool for tackling endogenous social challenges. Findings unearth a myriad of novel approaches to utilising data and ICT to respond to resident needs, improve livelihoods and widely share smart city benefits. Yet they also point to a need to transcend polarised discourses around alternative models of smart cities and appreciate the messy reality of hybrid, on-the-ground smart urbanisation and the co-existence of contrasting yet complementary visions and approaches.",1
"Lythreatis, Sophie and Singh, Sanjay Kumar and El-Kassar, Abdul Nasser",2022,{The digital divide: A review and future research agenda,"This article provides a systematic review of the digital divide, a phenomenon which refers to disparities in Information and Communications Technology access, usage, and outcomes. It uniquely identifies the factors affecting the digital divide that have emerged in recent years (2017–2021) as well as investigate if there are new forms or levels of the divide that have surfaced in recent literature. The findings, based on 50 included studies, show that the factors affecting the digital divide can be classified into three different segments and nine main categories: sociodemographic, socioeconomic, personal elements, social support, type of technology, digital training, rights, infrastructure, and large-scale events. Out of all factors, education has been linked to the digital divide the most. The majority of recent literature have studied Level 2 of the divide. Also, only one article in the sample has considered the digital divide at the firm level. Findings also show that a new form, type-of-internet access, and two potential new levels of the digital divide, algorithmic awareness and data inequalities, have been identified in the contemporary literature. The results contribute to the understanding and development of the different perspectives of the digital divide concept. They also contribute to the stream of literature on the determinants of the divide and to the social inequalities and digital inclusion literature. This review can be seen as a guide for managers to realize and understand the forms that the divide can take and to delve into their organizational capabilities on the digitalization front and evaluate where further development is needed within their organizations to help diminish the divide.","{The digital divide: A review and future research agendaThis article provides a systematic review of the digital divide, a phenomenon which refers to disparities in Information and Communications Technology access, usage, and outcomes. It uniquely identifies the factors affecting the digital divide that have emerged in recent years (–) as well as investigate if there are new forms or levels of the divide that have surfaced in recent literature. The findings, based on  included studies, show that the factors affecting the digital divide can be classified into three different segments and nine main categories: sociodemographic, socioeconomic, personal elements, social support, type of technology, digital training, rights, infrastructure, and large-scale events. Out of all factors, education has been linked to the digital divide the most. The majority of recent literature have studied Level  of the divide. Also, only one article in the sample has considered the digital divide at the firm level. Findings also show that a new form, type-of-internet access, and two potential new levels of the digital divide, algorithmic awareness and data inequalities, have been identified in the contemporary literature. The results contribute to the understanding and development of the different perspectives of the digital divide concept. They also contribute to the stream of literature on the determinants of the divide and to the social inequalities and digital inclusion literature. This review can be seen as a guide for managers to realize and understand the forms that the divide can take and to delve into their organizational capabilities on the digitalization front and evaluate where further development is needed within their organizations to help diminish the divide.",1
"Mouton, Morgan and Ducey, Ariel and Green, Judith and Hardcastle, Lorian and Hoffman, Steven and Leslie, Myles and Rock, Melanie",2019,{Towards ‘smart cities' as ‘healthy cities': health equity in a digital age,"The advent of ‘smart' technologies has already transformed urban life, with important consequences for physical, mental, and social well-being. Population health and equity have, however, been conspicuously absent from much of the ‘smart cities' research and policy agenda. With this in mind, we argue for a re-conceptualization of ‘digital divides' in terms of socio-economic gradients at the individual level, and we draw attention to digitally mediated connections as crucial elements for health promotion at an institutional level and for remedying inequities. We do so in part by reporting on a recent symposium. Overall, we begin to integrate the ‘healthy cities' tradition with the current interest in ‘smart cities'.","{Towards ‘smart cities' as ‘healthy cities': health equity in a digital ageThe advent of ‘smart' technologies has already transformed urban life, with important consequences for physical, mental, and social well-being. Population health and equity have, however, been conspicuously absent from much of the ‘smart cities' research and policy agenda. With this in mind, we argue for a re-conceptualization of ‘digital divides' in terms of socio-economic gradients at the individual level, and we draw attention to digitally mediated connections as crucial elements for health promotion at an institutional level and for remedying inequities. We do so in part by reporting on a recent symposium. Overall, we begin to integrate the ‘healthy cities' tradition with the current interest in ‘smart cities'.",1
"Cocchia, Annalisa",2014,{Smart and Digital City: A Systematic Literature Review,"The concept of Smart City embraces several definitions depending on the meanings of the word “smart”: intelligent city, knowledge city, ubiquitous city, sustainable city, digital city, etc. Many definitions of Smart City exist, but no one has been universally acknowledged yet. From literature analysis it emerges that Smart City and Digital City are the most used terminologies in literature to indicate the smartness of a city. This Chapter explores the literature about Smart City and Digital City from 1993 to the end of 2012 in order to investigate how these two concepts were born, how they have developed, which are the shared features and differences between them. To accomplish with these goals, three steps were followed: (1) to set up a search strategy for systematic literature review to collect a representative subset of papers about Smart City and Digital City using Google Scholar; (2) to store the selected subset in an ad-doc database to synthesize the literature review; (3) to organize the literature review subset to extract quantitative and qualitative data and information about Smart City and Digital City evolution. The author proposes a literature review taxonomy through five specific analysis: (1) time analysis, to explore the causes of the trend of Smart City and Digital City literature in the latest twenty years; (2) terminology analysis, to examine how and where these two ideas were born and what have been the main events influenced their development; (3) definitions analysis, to select and compare the most cited and validated definitions of Smart City and Digital City trying to identify similarities, differences or overlaps between these two concepts; (4) typology analysis, to investigate if Smart City and Digital City are included into a specific urban strategy pursued by government or if they face specific urban problems without a comprehensive framework; (5) geographic analysis, to understand where are the largest concentrations of Smart Cities and Digital Cities in the world and which are their main characteristics and best practices.","{Smart and Digital City: A Systematic Literature ReviewThe concept of Smart City embraces several definitions depending on the meanings of the word “smart”: intelligent city, knowledge city, ubiquitous city, sustainable city, digital city, etc. Many definitions of Smart City exist, but no one has been universally acknowledged yet. From literature analysis it emerges that Smart City and Digital City are the most used terminologies in literature to indicate the smartness of a city. This Chapter explores the literature about Smart City and Digital City from  to the end of  in order to investigate how these two concepts were born, how they have developed, which are the shared features and differences between them. To accomplish with these goals, three steps were followed: () to set up a search strategy for systematic literature review to collect a representative subset of papers about Smart City and Digital City using Google Scholar; () to store the selected subset in an ad-doc database to synthesize the literature review; () to organize the literature review subset to extract quantitative and qualitative data and information about Smart City and Digital City evolution. The author proposes a literature review taxonomy through five specific analysis: () time analysis, to explore the causes of the trend of Smart City and Digital City literature in the latest twenty years; () terminology analysis, to examine how and where these two ideas were born and what have been the main events influenced their development; () definitions analysis, to select and compare the most cited and validated definitions of Smart City and Digital City trying to identify similarities, differences or overlaps between these two concepts; () typology analysis, to investigate if Smart City and Digital City are included into a specific urban strategy pursued by government or if they face specific urban problems without a comprehensive framework; () geographic analysis, to understand where are the largest concentrations of Smart Cities and Digital Cities in the world and which are their main characteristics and best practices.",1
"Cocchia, Annalisa",2014,{Smart and Digital City: A Systematic Literature Review,"The concept of Smart City embraces several definitions depending on the meanings of the word “smart”: intelligent city, knowledge city, ubiquitous city, sustainable city, digital city, etc. Many definitions of Smart City exist, but no one has been universally acknowledged yet. From literature analysis it emerges that Smart City and Digital City are the most used terminologies in literature to indicate the smartness of a city. This Chapter explores the literature about Smart City and Digital City from 1993 to the end of 2012 in order to investigate how these two concepts were born, how they have developed, which are the shared features and differences between them. To accomplish with these goals, three steps were followed: (1) to set up a search strategy for systematic literature review to collect a representative subset of papers about Smart City and Digital City using Google Scholar; (2) to store the selected subset in an ad-doc database to synthesize the literature review; (3) to organize the literature review subset to extract quantitative and qualitative data and information about Smart City and Digital City evolution. The author proposes a literature review taxonomy through five specific analysis: (1) time analysis, to explore the causes of the trend of Smart City and Digital City literature in the latest twenty years; (2) terminology analysis, to examine how and where these two ideas were born and what have been the main events influenced their development; (3) definitions analysis, to select and compare the most cited and validated definitions of Smart City and Digital City trying to identify similarities, differences or overlaps between these two concepts; (4) typology analysis, to investigate if Smart City and Digital City are included into a specific urban strategy pursued by government or if they face specific urban problems without a comprehensive framework; (5) geographic analysis, to understand where are the largest concentrations of Smart Cities and Digital Cities in the world and which are their main characteristics and best practices.","{Smart and Digital City: A Systematic Literature ReviewThe concept of Smart City embraces several definitions depending on the meanings of the word “smart”: intelligent city, knowledge city, ubiquitous city, sustainable city, digital city, etc. Many definitions of Smart City exist, but no one has been universally acknowledged yet. From literature analysis it emerges that Smart City and Digital City are the most used terminologies in literature to indicate the smartness of a city. This Chapter explores the literature about Smart City and Digital City from  to the end of  in order to investigate how these two concepts were born, how they have developed, which are the shared features and differences between them. To accomplish with these goals, three steps were followed: () to set up a search strategy for systematic literature review to collect a representative subset of papers about Smart City and Digital City using Google Scholar; () to store the selected subset in an ad-doc database to synthesize the literature review; () to organize the literature review subset to extract quantitative and qualitative data and information about Smart City and Digital City evolution. The author proposes a literature review taxonomy through five specific analysis: () time analysis, to explore the causes of the trend of Smart City and Digital City literature in the latest twenty years; () terminology analysis, to examine how and where these two ideas were born and what have been the main events influenced their development; () definitions analysis, to select and compare the most cited and validated definitions of Smart City and Digital City trying to identify similarities, differences or overlaps between these two concepts; () typology analysis, to investigate if Smart City and Digital City are included into a specific urban strategy pursued by government or if they face specific urban problems without a comprehensive framework; () geographic analysis, to understand where are the largest concentrations of Smart Cities and Digital Cities in the world and which are their main characteristics and best practices.",1
"Choi, Junho",2022,{Enablers and inhibitors of smart city service adoption: A dual‑factor approach based on the technology acceptance model,"This study investigated the enablers and inhibitors of smart city technology adoption using a citizen-centered approach. We proposed a dual-factor theoretical framework based on variables related to the technology acceptance model and tested it in Sejong and Songdo, the national pilot smart cities in Korea. We administered a structured web-based survey to 239 respondents. We used confirmatory factor analysis and structural equation modeling to test our hypotheses. The results revealed that compatibility, service quality, and relative advantage have positive effects on the perceived usefulness and usability of smart city services. On the other hand, complexity and unreliability have negative direct and indirect effects on intentions to use smart city services. These findings can guide the decision making of local officials and technology developers when creating smart city services. Additionally, the study's results can inform strategies for providing services to cities and regions.","{Enablers and inhibitors of smart city service adoption: A dual‑factor approach based on the technology acceptance modelThis study investigated the enablers and inhibitors of smart city technology adoption using a citizen-centered approach. We proposed a dual-factor theoretical framework based on variables related to the technology acceptance model and tested it in Sejong and Songdo, the national pilot smart cities in Korea. We administered a structured web-based survey to  respondents. We used confirmatory factor analysis and structural equation modeling to test our hypotheses. The results revealed that compatibility, service quality, and relative advantage have positive effects on the perceived usefulness and usability of smart city services. On the other hand, complexity and unreliability have negative direct and indirect effects on intentions to use smart city services. These findings can guide the decision making of local officials and technology developers when creating smart city services. Additionally, the study's results can inform strategies for providing services to cities and regions.",1
"Manfreda, Anton and Ljubi, Klara and Groznik, Ale{\v{s",2021,{Autonomous vehicles in the smart city era: An empirical study of adoption factors important for millennials,"Smart cities are developing at increasing speed. Smart cities rely on the deployment of information and communication technology (ICT) that is digitally transforming our habitats. Digital transformation affects several areas from transportation, energy, government to the environment. But, primarily, it affects citizens. Therefore, the adoption of all areas of the smart city holds great research potential. The purpose of this paper is thus to provide an insight into millennials' adoption of autonomous vehicles (AV), which are at the forefront of future transport. Millennials are an important focus group for smart city concepts since they are keen to adopt technology and new transport modes. Our research focuses on technology adoption, perception of the benefits, security, safety, mobility-related efficiencies and concerns as the key AV adoption factors. The impact of these factors is empirically tested with structural equation modelling using data from 382 millennials. We confirm the perceived benefits of AV are vital factors for AV adoption whereas the perceived safety of AV significantly reduces the influence of various concerns regarding AV.","{Autonomous vehicles in the smart city era: An empirical study of adoption factors important for millennialsSmart cities are developing at increasing speed. Smart cities rely on the deployment of information and communication technology (ICT) that is digitally transforming our habitats. Digital transformation affects several areas from transportation, energy, government to the environment. But, primarily, it affects citizens. Therefore, the adoption of all areas of the smart city holds great research potential. The purpose of this paper is thus to provide an insight into millennials' adoption of autonomous vehicles (AV), which are at the forefront of future transport. Millennials are an important focus group for smart city concepts since they are keen to adopt technology and new transport modes. Our research focuses on technology adoption, perception of the benefits, security, safety, mobility-related efficiencies and concerns as the key AV adoption factors. The impact of these factors is empirically tested with structural equation modelling using data from  millennials. We confirm the perceived benefits of AV are vital factors for AV adoption whereas the perceived safety of AV significantly reduces the influence of various concerns regarding AV.",1
